id;jhi_date;jhi_value;fund_id
761;2017-03-27;286.98;7
762;2017-03-24;287.92;7
763;2017-03-23;288.78;7
764;2017-03-22;286.70;7
765;2017-03-21;288.07;7
766;2017-03-20;291.56;7
767;2017-03-17;292.33;7
768;2017-03-16;289.84;7
769;2017-03-15;288.80;7
770;2017-03-14;287.84;7
771;2017-03-13;288.43;7
772;2017-03-10;288.00;7
773;2017-03-09;286.84;7
774;2017-03-08;284.94;7
775;2017-03-07;284.26;7
776;2017-03-06;283.90;7
777;2017-03-03;283.30;7
778;2017-03-02;282.39;7
779;2017-03-01;282.99;7
780;2017-02-28;278.41;7
781;2017-02-27;277.51;7
782;2017-02-24;277.38;7
783;2017-02-23;278.98;7
784;2017-02-22;279.91;7
785;2017-02-21;280.39;7
786;2017-02-20;279.91;7
787;2017-02-17;279.25;7
788;2017-02-16;278.73;7
789;2017-02-15;278.48;7
790;2017-02-14;278.61;7
791;2017-02-13;278.13;7
792;2017-02-10;276.43;7
793;2017-02-09;276.78;7
794;2017-02-08;274.80;7
795;2017-02-07;274.15;7
796;2017-02-06;273.23;7
797;2017-02-03;274.78;7
798;2017-02-02;274.33;7
799;2017-02-01;274.20;7
800;2017-01-31;271.96;7
801;2017-01-30;273.39;7
802;2017-01-27;275.75;7
803;2017-01-26;275.46;7
804;2017-01-25;275.32;7
805;2017-01-24;273.11;7
806;2017-01-23;273.47;7
807;2017-01-20;274.07;7
808;2017-01-19;274.78;7
809;2017-01-18;275.08;7
810;2017-01-17;275.33;7
811;2017-01-16;275.94;7
812;2017-01-13;276.82;7
813;2017-01-12;273.58;7
814;2017-01-11;275.56;7
815;2017-01-10;276.03;7
816;2017-01-09;276.48;7
817;2017-01-06;277.74;7
818;2017-01-05;277.25;7
819;2017-01-04;276.66;7
820;2017-01-03;276.09;7
821;2017-01-02;274.65;7
822;2016-12-30;273.74;7
823;2016-12-29;273.51;7
824;2016-12-28;273.30;7
825;2016-12-27;272.82;7
826;2016-12-23;271.70;7
827;2016-12-22;270.40;7
828;2016-12-21;269.82;7
829;2016-12-20;268.73;7
830;2016-12-19;267.12;7
831;2016-12-16;266.96;7
832;2016-12-15;265.68;7
833;2016-12-14;264.93;7
834;2016-12-13;266.26;7
835;2016-12-12;264.02;7
836;2016-12-09;264.90;7
837;2016-12-08;263.83;7
838;2016-12-07;262.06;7
839;2016-12-06;261.40;7
840;2016-12-05;259.29;7
841;2016-12-02;257.33;7
842;2016-12-01;258.61;7
843;2016-11-30;260.80;7
844;2016-11-29;260.48;7
845;2016-11-28;260.32;7
846;2016-11-25;262.45;7
847;2016-11-24;261.05;7
848;2016-11-23;260.35;7
849;2016-11-22;260.36;7
850;2016-11-21;258.93;7
851;2016-11-18;258.75;7
852;2016-11-17;259.54;7
853;2016-11-16;258.63;7
854;2016-11-15;258.61;7
855;2016-11-14;258.95;7
856;2016-11-11;259.23;7
857;2016-11-10;260.30;7
858;2016-11-09;261.88;7
859;2017-05-04;1109.36;8
860;2017-05-03;1108.04;8
861;2017-05-02;1108.50;8
862;2017-04-28;1104.28;8
863;2017-04-27;1104.52;8
864;2017-04-26;1105.23;8
865;2017-04-25;1102.37;8
866;2017-04-24;1101.77;8
867;2017-04-21;1095.52;8
868;2017-04-20;1092.53;8
869;2017-04-19;1092.12;8
870;2017-04-18;1091.51;8
871;2017-04-13;1097.78;8
872;2017-04-12;1100.41;8
873;2017-04-11;1100.07;8
874;2017-04-10;1102.66;8
875;2017-04-07;1102.56;8
876;2017-04-06;1100.64;8
877;2017-04-05;1100.78;8
878;2017-04-04;1101.10;8
879;2017-04-03;1100.21;8
880;2017-03-31;1100.13;8
881;2017-03-30;1099.09;8
882;2017-03-29;1095.40;8
883;2017-03-28;1089.40;8
884;2017-03-27;1084.82;8
885;2017-03-24;1089.84;8
886;2017-03-23;1090.41;8
887;2017-03-22;1086.82;8
888;2017-03-21;1088.59;8
889;2017-03-20;1095.76;8
890;2017-03-17;1096.56;8
891;2017-03-16;1095.64;8
892;2017-03-15;1095.03;8
893;2017-03-14;1091.72;8
894;2017-03-13;1092.53;8
895;2017-03-10;1090.12;8
896;2017-03-09;1092.98;8
897;2017-03-08;1094.72;8
898;2017-03-07;1095.09;8
899;2017-03-06;1095.17;8
900;2017-03-03;1098.60;8
901;2017-03-02;1101.15;8
902;2017-03-01;1101.74;8
903;2017-02-28;1090.57;8
904;2017-02-27;1091.58;8
905;2017-02-24;1093.92;8
906;2017-02-23;1096.75;8
907;2017-02-22;1098.47;8
908;2017-02-21;1099.39;8
909;2017-02-20;1092.67;8
910;2017-02-17;1090.87;8
911;2017-02-16;1090.21;8
912;2017-02-15;1094.01;8
913;2017-02-14;1092.86;8
